Date,Open,High,Low,Close,Volume,Adj Close
03-01-2011,325.64,330.26,324.84,329.57,111284600,44.78
04-01-2011,332.44,332.5,328.15,331.29,77270200,45.01
05-01-2011,329.55,334.34,329.5,334,63879900,45.38
06-01-2011,334.72,335.25,332.9,333.73,75107200,45.34
07-01-2011,333.99,336.35,331.9,336.12,77982800,45.67
10-01-2011,338.83,343.23,337.17,342.45,112140000,46.53
11-01-2011,344.88,344.96,339.47,341.64,111027000,46.42
12-01-2011,343.25,344.43,342,344.42,75647600,46.8
13-01-2011,345.16,346.64,343.85,345.68,74195100,46.97
14-01-2011,345.89,348.48,344.44,348.48,77210000,47.35
18-01-2011,329.52,344.76,326,340.65,470249500,46.28
19-01-2011,348.35,348.6,336.88,338.84,283903200,46.04
20-01-2011,336.43,338.3,330.12,332.68,191197300,45.2
21-01-2011,333.77,334.88,326.63,326.72,188600300,44.39
24-01-2011,326.87,337.45,326.72,337.45,143670800,45.85
25-01-2011,336.33,341.44,334.57,341.4,136717000,46.39
26-01-2011,342.96,345.6,341.5,343.85,126718900,46.72
27-01-2011,343.78,344.69,342.83,343.21,71256500,46.63
28-01-2011,344.17,344.4,333.53,336.1,148014300,45.67
31-01-2011,335.8,340.04,334.3,339.32,94311700,46.1
01-02-2011,341.3,345.65,340.98,345.03,106658300,46.88
02-02-2011,344.45,345.25,343.55,344.32,64738800,46.78
03-02-2011,343.8,344.24,338.55,343.44,98449400,46.66
04-02-2011,343.64,346.7,343.51,346.5,80460100,47.08
07-02-2011,347.89,353.25,347.64,351.88,121255400,47.81
08-02-2011,353.68,355.52,352.15,355.2,95260200,48.26
09-02-2011,355.19,359,354.87,358.16,120686300,48.66
10-02-2011,357.39,360,348,354.54,232137500,48.17
11-02-2011,354.75,357.8,353.54,356.85,91893200,48.48
14-02-2011,356.79,359.48,356.71,359.18,77604100,48.8
15-02-2011,359.19,359.97,357.55,359.9,71043700,48.9
16-02-2011,360.8,364.9,360.5,363.13,120289400,49.34
17-02-2011,357.25,360.27,356.52,358.3,132645800,48.68
18-02-2011,358.71,359.5,349.52,350.56,204014300,47.63
22-02-2011,342.15,345.4,337.72,338.61,218138900,46.01
23-02-2011,338.77,344.64,338.61,342.62,167963600,46.55
24-02-2011,344.02,345.15,338.37,342.88,124975200,46.59
25-02-2011,345.26,348.43,344.8,348.16,95004700,47.3
28-02-2011,351.24,355.05,351.12,353.21,100768500,47.99
01-03-2011,355.47,355.72,347.68,349.31,114034200,47.46
02-03-2011,349.96,354.35,348.4,352.12,150647700,47.84
03-03-2011,357.19,359.79,355.92,359.56,125197100,48.85
04-03-2011,360.07,360.29,357.75,360,113316700,48.91
07-03-2011,361.4,361.67,351.31,355.36,136530800,48.28
08-03-2011,354.91,357.4,352.25,355.76,89079200,48.34
09-03-2011,354.69,354.76,350.6,352.47,113326500,47.89
10-03-2011,349.12,349.77,344.9,346.67,126884800,47.1
11-03-2011,345.33,352.32,345,351.99,117770100,47.82
14-03-2011,353.18,356.48,351.31,353.56,108989300,48.04
15-03-2011,342.1,347.84,340.1,345.43,180270300,46.93
16-03-2011,342,343,326.26,330.01,290502800,44.84
17-03-2011,336.83,339.61,330.66,334.64,164855600,45.47
18-03-2011,337.13,338.2,330,330.67,188303500,44.93
21-03-2011,335.99,339.74,335.26,339.3,102350500,46.1
22-03-2011,342.56,342.62,339.14,341.2,81480700,46.36
23-03-2011,339.28,340.22,335.95,339.19,93249100,46.09
24-03-2011,341.85,346,338.86,344.97,101178000,46.87
25-03-2011,348.07,352.06,347.02,351.54,112227500,47.76
28-03-2011,353.15,354.32,350.44,350.44,77338800,47.61
29-03-2011,347.66,350.96,346.06,350.96,88225200,47.68
30-03-2011,350.64,350.88,347.44,348.63,82351500,47.37
31-03-2011,346.36,349.8,346.06,348.51,68504800,47.35
01-04-2011,351.11,351.59,343.3,344.56,104665400,46.82
04-04-2011,344.31,344.6,338.4,341.19,115021200,46.36
05-04-2011,336.99,342.25,336,338.89,120682800,46.04
06-04-2011,341.22,343.9,337.14,338.04,100634800,45.93
07-04-2011,338.1,340.43,336.03,338.08,93361800,45.93
08-04-2011,339.92,340.15,333.95,335.06,94383800,45.52
11-04-2011,334.06,335.67,330.02,330.8,99736700,44.95
12-04-2011,330.49,333.73,330.2,332.4,106409800,45.16
13-04-2011,335.02,336.14,332.52,336.13,86555000,45.67
14-04-2011,334.8,336,332.06,332.42,75450200,45.17
15-04-2011,333.3,333.64,326.8,327.46,113401400,44.49
18-04-2011,326.1,332.23,320.16,331.85,152474700,45.09
19-04-2011,333.1,337.98,331.71,337.86,104844600,45.9
20-04-2011,343.51,345.75,341.5,342.41,175166600,46.52
21-04-2011,355,355.13,348.52,350.7,188452600,47.65
25-04-2011,350.34,353.75,350.3,353.01,66636500,47.96
26-04-2011,353.62,354.99,349.35,350.42,84700000,47.61
27-04-2011,352.24,352.35,347.1,350.15,89053300,47.57
28-04-2011,346.19,349.75,345.52,346.75,90239800,47.11
29-04-2011,346.78,353.95,346.67,350.13,251586300,47.57
02-05-2011,349.74,350.47,345.5,346.28,110678400,47.05
03-05-2011,347.99,349.89,345.62,348.2,78337000,47.31
04-05-2011,348.26,351.83,346.88,349.57,97312600,47.5
05-05-2011,348.4,350.95,346.05,346.75,83992300,47.11
06-05-2011,349.69,350,346.21,346.66,70033600,47.1
09-05-2011,347.86,349.2,346.53,347.6,51186800,47.23
10-05-2011,348.89,349.69,346.66,349.45,70522900,47.48
11-05-2011,349.02,350,345.24,347.23,84000000,47.18
12-05-2011,346.12,347.12,342.27,346.57,80500000,47.09
13-05-2011,345.66,346.25,340.35,340.5,81529000,46.26
16-05-2011,339.2,341.22,332.6,333.3,112443800,45.29
17-05-2011,332,336.14,330.73,336.14,113083600,45.67
18-05-2011,336.47,341.05,336,339.87,83694100,46.18
19-05-2011,342.08,342.41,338.67,340.53,65292500,46.27
20-05-2011,339.56,340.95,335.02,335.22,84492100,45.55
23-05-2011,329.97,335.98,329.42,334.4,95900000,45.43
24-05-2011,335.5,335.9,331.34,332.19,80481800,45.13
25-05-2011,333.43,338.56,332.85,336.78,73556000,45.76
26-05-2011,335.97,336.89,334.43,335,55640200,45.52
27-05-2011,334.8,337.63,334.31,337.41,50899800,45.84
31-05-2011,341.1,347.83,341,347.83,104438600,47.26
01-06-2011,348.87,352.13,344.65,345.51,138670700,46.94
02-06-2011,346.5,347.98,344.3,346.1,84695800,47.02
03-06-2011,343.18,345.33,342.01,343.44,78312500,46.66
06-06-2011,345.7,347.05,337.81,338.04,115485300,45.93
07-06-2011,338.17,338.22,331.9,332.04,132446300,45.11
08-06-2011,331.78,334.8,330.65,332.24,83430900,45.14
09-06-2011,333.25,333.67,330.75,331.49,68772200,45.04
10-06-2011,330.55,331.66,325.51,325.9,108488800,44.28
13-06-2011,327.2,328.31,325.07,326.6,82368300,44.37
14-06-2011,330,333.25,329.31,332.44,83642300,45.17
15-06-2011,329.75,330.3,324.88,326.75,99799000,44.4
16-06-2011,326.9,328.68,318.33,325.16,127647800,44.18
17-06-2011,328.99,329.25,319.36,320.26,153755000,43.51
20-06-2011,317.36,317.7,310.5,315.32,160161400,42.84
21-06-2011,316.68,325.8,315.2,325.3,123345600,44.2
22-06-2011,325.16,328.9,322.38,322.61,97645800,43.83
23-06-2011,318.94,331.69,318.12,331.23,139939800,45
24-06-2011,331.37,333.15,325.09,326.35,109951800,44.34
27-06-2011,327.59,333.9,327.25,332.04,84953400,45.11
28-06-2011,333.65,336.7,333.44,335.26,73574900,45.55
29-06-2011,336.04,336.37,331.88,334.04,88136300,45.39
30-06-2011,334.7,336.13,332.84,335.67,80738700,45.61
01-07-2011,335.95,343.5,334.2,343.26,108828300,46.64
05-07-2011,343,349.83,342.5,349.43,88763500,47.48
06-07-2011,348.95,354.1,346.71,351.76,111156500,47.79
07-07-2011,354.67,358,354,357.2,99915900,48.53
08-07-2011,353.34,360,352.2,359.71,122408300,48.87
11-07-2011,356.34,359.77,352.82,354,110668600,48.1
12-07-2011,353.53,357.68,348.62,353.75,112902300,48.06
13-07-2011,358.33,360,356.38,358.02,97909700,48.64
14-07-2011,361.01,361.61,356.34,357.77,107633400,48.61
15-07-2011,361.17,365,359.17,364.92,121116800,49.58
18-07-2011,365.43,374.65,365.28,373.8,143163300,50.79
19-07-2011,378,378.65,373.32,376.85,204786400,51.2
20-07-2011,396.12,396.27,386,386.9,235335100,52.57
21-07-2011,386.95,390.06,383.9,387.29,131633600,52.62
22-07-2011,388.32,395.05,387.75,393.3,129182200,53.44
25-07-2011,390.35,400,389.62,398.5,147451500,54.14
26-07-2011,400,404.5,399.68,403.41,119145600,54.81
27-07-2011,400.59,402.64,392.15,392.59,164831100,53.34
28-07-2011,391.62,396.99,388.13,391.82,148508500,53.24
29-07-2011,387.64,395.15,384,390.48,158146100,53.05
01-08-2011,397.78,399.5,392.37,396.75,153209000,53.91
02-08-2011,397.65,397.9,388.35,388.91,159884900,52.84
03-08-2011,390.98,393.55,382.24,392.57,183127000,53.34
04-08-2011,389.41,391.32,377.35,377.37,217851900,51.27
05-08-2011,380.44,383.5,362.57,373.62,301147700,50.76
08-08-2011,361.69,367.77,353.02,353.21,285958400,47.99
09-08-2011,361.3,374.61,355,374.01,270645900,50.82
10-08-2011,371.15,374.65,362.5,363.69,219664200,49.41
11-08-2011,370.52,375.45,364.72,373.7,185492300,50.77
12-08-2011,378.07,379.64,374.23,376.99,132244000,51.22
15-08-2011,379.63,384.97,378.09,383.41,115136000,52.09
16-08-2011,381.52,383.37,376.06,380.48,124687500,51.7
17-08-2011,382.31,384.52,378,380.44,110515300,51.69
18-08-2011,370.84,372.65,361.37,366.05,212858800,49.73
19-08-2011,362.17,367,356,356.03,193972100,48.37
22-08-2011,364.51,364.88,355.09,356.44,133828800,48.43
23-08-2011,360.3,373.64,357,373.6,164208800,50.76
24-08-2011,373.47,378.96,370.6,376.18,156566900,51.11
25-08-2011,365.08,375.45,365,373.72,217836500,50.78
26-08-2011,371.17,383.8,370.8,383.58,160369300,52.12
29-08-2011,388.18,391.5,388,389.97,101317300,52.98
30-08-2011,388.25,391.84,386.21,389.99,104480600,52.99
31-08-2011,390.57,392.08,381.86,384.83,130646600,52.29
01-09-2011,385.82,387.34,380.72,381.03,85931300,51.77
02-09-2011,374.74,378,371.83,374.05,109734800,50.82
06-09-2011,367.37,380.33,366.48,379.74,127424500,51.6
07-09-2011,385.56,385.6,382,383.93,87644200,52.16
08-09-2011,382.4,388.61,382.31,384.14,104039600,52.19
09-09-2011,383.93,386,375.02,377.48,141203300,51.29
12-09-2011,373,380.88,371.9,379.94,116958100,51.62
13-09-2011,382.14,386.21,380.25,384.62,110140100,52.26
14-09-2011,387.02,392.21,385.76,389.3,133681100,52.89
15-09-2011,391.43,393.66,389.9,392.96,104454700,53.39
16-09-2011,395.54,400.5,395.03,400.5,174628300,54.42
19-09-2011,397,413.23,395.2,411.63,205965200,55.93
20-09-2011,415.25,422.86,411.19,413.45,193938500,56.18
